input_id,relative_or_external_path,contains_respondent_rows,submission_copy_allowed,purpose
COMPARABILITY_AUDIT,data/audit/node_wave_selection_inputs/anes_year_item_comparability.csv,NO,YES,Recorded candidate-variable availability wording categories and official-source audit
MEASUREMENT_MAP,data/audit/node_wave_selection_inputs/FINAL_ALL_WAVE_MEASUREMENT_G02B.csv,NO,YES,Verified six-wave measurement map from which the final five-wave map is extracted
MAPPING_2024,data/audit/node_wave_selection_inputs/ANES2024_SOURCE_MAPPING_G02B.csv,NO,YES,Aggregate 2024 immigration source-mapping validation
MAPPING_EVIDENCE,data/audit/node_wave_selection_inputs/ANES_SOURCE_MAPPING_EVIDENCE_G02B.csv,NO,YES,Aggregate repaired source-mapping evidence
COMPLETE_CASE_2008,data/audit/node_wave_selection_inputs/2008_complete_case_diagnostic.csv,NO,YES,Historical aggregate sample-flow evidence for exclusion of 2008
SPLIT_FORM_2008,data/audit/node_wave_selection_inputs/2008_split_form_patterns.csv,NO,YES,Historical aggregate OLD and NEW split-form availability evidence
PAIRWISE_CELLS_2008,data/audit/node_wave_selection_inputs/2008_2012_polychoric_pairwise_cell_diagnostic.csv,NO,YES,Historical aggregate contingency-cell diagnostics
POLYCHORIC_2008,data/audit/node_wave_selection_inputs/2008_2012_polychoric_feasibility_summary.csv,NO,YES,Shows that exclusion of 2008 was not caused by matrix failure
CLEANED_FIVE_WAVE_DATA,data/cleaned/anes_cdf_20260205_cleaned_2004_2012_2016_2020_2024.rds,YES,NO,Recomputes aggregate alternative-node-set complete-case counts locally
ANALYSIS_READY_DATA,data/analysis_ready/anes_cdf_20260205_analysis_ready_nine_node_complete_case_2004_2012_2016_2020_2024.rds,YES,NO,Validates final years and exact complete-case analysis sample locally
