module_id,decision_ref,included,status,waves,sample,nodes,missing_data,association,estimator,gamma,weights,model_action,purpose,required_diagnostics,comparison_rule,prohibited,execution_authorised,notes
S09_D11,D11,YES,COMPLETE_WITH_WARNINGS,"2004;2012;2016;2020;2024",overall wave-eligible respondents,9 ordered nodes,pairwise available,polychoric,EBICglasso,0.50,unweighted,ESTIMATE,"Test dependence on the common complete-case respondent rule","Verify cleaned-input hash; reuse completed pairwise-N/cell/matrix diagnostics; add estimator conditions and status","Sign agreement; retained-edge overlap/Jaccard; median/max absolute edge difference; descriptive global-strength difference","Matrix repair; imputation; bootstrap; centrality; NCT; education groups",YES,"Five point networks completed; sensitivity only; not a correction for selection bias"
S09_D20A_GAMMA,D20A,YES,COMPLETE_WITH_WARNINGS,"2004;2012;2016;2020;2024",primary nine-node complete-case samples,9 ordered nodes,complete case,polychoric,EBICglasso,0.25,unweighted,ESTIMATE,"Test dependence on EBIC gamma","Exact frozen primary 9x9 matrix; node order; gamma sole changed argument; all conditions","All 36 edges; sign; retention; absolute difference; descriptive global strength","Alternative gamma search; bootstrap; centrality; NCT",YES,"Five point networks completed; all exactly matched gamma 0.50 graphs for these frozen inputs"
S09_D20A_NO_VCF0839,D20A,YES,COMPLETE_WITH_WARNINGS,"2004;2012;2016;2020;2024",original nine-node complete-case respondent sets,8 ordered nodes excluding VCF0839,complete case,polychoric,EBICglasso,0.50,unweighted,ESTIMATE,"Test dependence on the broad services/spending node","Exact respondent-ID match; eight-node order; exact primary-matrix 8x8 submatrix; all conditions","Compare the 28 shared edges only","Recomputing a larger eight-node sample; raw global-strength/centrality comparison across node counts; bootstrap; NCT",YES,"Five point networks completed on frozen nine-node memberships; shared-edge comparison only"
S09_D15_WEIGHT,D15,YES,REUSE_COMPLETE_VALIDATED,"2004;2012;2016;2020;2024",validated D15 pilot samples,9 ordered nodes,complete case,weighted polychoric,EBICglasso,0.50,"W_CDF;W_POST_COMPAT",REUSE,"Assess point-estimate dependence on approved weight conventions","Source path/hash/readability; existing validation status","Edge correlation; max absolute difference; sign agreement; retained-edge overlap/Jaccard; descriptive global-strength difference","Re-estimation; Kish-ESS substitution; weighted bootstrap; weighted centrality; weighted NCT; population-network inference",YES,"Ten existing point networks reused; no re-estimation"
S09_D19_MODE,D19,YES,COMPLETE_WITH_WARNINGS,"2012;2016;2020;2024","VCF0017==4 then nine-node complete case",9 ordered nodes,complete case,polychoric,EBICglasso,0.50,unweighted,ESTIMATE,"Test persistence of recent-wave patterns within all-internet respondents","Category frequencies; 36 cell tables; correlation type; all conditions; matrix identity/eigenvalue/PD checks","Same-wave primary versus internet-only sign; retention/Jaccard; median/max edge difference; descriptive global-strength difference","2004 mode match; bootstrap; centrality; NCT; education groups; causal mode-effect claim",YES,"Four diagnostic-gated point networks completed; interpretation remains non-causal"
S09_D04_2008,D04,NO,OUT_OF_SCOPE,2008,none,none,none,none,none,none,none,DO_NOT_RUN,"Excluded from the final design",none,none,"Any 2008 model or interpretation",NO,"2008 removed from all later analysis"
S09_D18_NCT,D18,NO,OUT_OF_SCOPE,none,none,none,none,none,none,none,none,DO_NOT_RUN,"Formal network-comparison inference omitted",none,none,"NCT; edge-difference tests; global-strength tests",NO,"Step 08 remains descriptive"
S09_D08B_EDUCATION,D08B,NO,OUT_OF_SCOPE,none,none,none,none,none,none,none,none,DO_NOT_RUN,"Education-group formal sensitivity/inference omitted",none,none,"Education sensitivity; education NCT; education centrality",NO,"Existing D08A/08C outputs remain descriptive"
S09_D20B_SPEARMAN,D20B,NO,NOT_APPROVED,none,none,none,none,Spearman,GGM,none,unweighted,DO_NOT_RUN,"Optional association-choice test not in minimum dissertation",none,none,"Spearman GGM",NO,"Requires a new researcher decision"
S09_D20C_UNREG,D20C,NO,NOT_APPROVED,none,none,none,none,polychoric,unregularised GGM,none,unweighted,DO_NOT_RUN,"Optional regularisation-dependence test not in minimum dissertation",none,none,"Unregularised GGM",NO,"Requires a new researcher decision"
S09_WEIGHTED_RESAMPLING,D15,NO,PROHIBITED,none,none,none,none,none,none,none,weighted,DO_NOT_RUN,"No validated complex-survey resampling chain",none,none,"Weighted bootstrap; weighted centrality; weighted NCT",NO,"Point-network reuse only"
