"decision_id","topic","current_value","decision_status","evidence_status","implementation_status","researcher_approval_status","supervisor_confirmation_status","analysis_effect","primary_evidence","execution_evidence","decision_record","prerequisites","dependent_files","supersedes","last_verified","notes","canonical_reference_policy"
"D01","Research object","Selected nine-node policy-attitude/belief network in analysed ANES samples; not the whole US belief system","FROZEN","PARTIALLY_SUPPORTED","VERIFIED","APPROVED","ADVISED","LIMITATION_ONLY","Political full texts; supervisor direction; official node documentation","Node/evidence audits","research_decisions_log.md — 2026-08-21","None for the bounded object; D02 controls final title wording","METHODOLOGY_DRAFT.md; final title/abstract","Broader Project Plan wording","2026-08-23","Interpretation remains conditional on selected nodes and analytic samples.","REQUIRED"
"D02","Title and claim scope","Choose bounded current-title wording, ANES-samples wording, education-focused wording, or another approved title","SUPERVISOR_CONFIRMATION_REQUIRED","PARTIALLY_SUPPORTED","NOT_STARTED","NOT_YET_APPROVED","REQUIRED","LIMITATION_ONLY","D01 boundary; mode/weight documentation","No final results","METHODOLOGY_UNRESOLVED_ITEMS.md §5","Researcher option and supervisor confirmation","Title; abstract; literature gap; methodology claim boundary","Original Project Plan title","2026-08-23","Title choice must not promise a fully design-based population network.","REQUIRED"
"D03","Primary waves","2004, 2012, 2016, 2020 and 2024","FROZEN","REPRODUCED","VERIFIED","APPROVED","ADVISED","NO_CURRENT_EFFECT","Official CDF; political rationale","All-wave feasibility audits","research_decisions_log.md — 2026-08-21","D05A clarifies 2024 inclusion; D09B required before formal implementation","Wave-status records; methodology","1980–2024/every-wave provisional scope","2026-08-23","NCT, weights and survey mode do not reopen D03/D05A inclusion.","REQUIRED"
"D04","2008 role","Exclude 2008 from all primary overall, education-group and sensitivity network analyses; retain it only as historical feasibility and provenance evidence","FROZEN","REPRODUCED","VERIFIED","APPROVED","ADVISED","NO_CURRENT_EFFECT","Official split-form documentation; complete-case and sparsity diagnostics; explicit researcher exclusion","No 2008 network appears in the validated Step-07 bundle; the Step-08 gate requires 2008 to be absent","research_decisions_log.md — 2026-08-30 D24","None; a new explicit approval would be required to reopen 2008","Step-08 plan; methodology; sensitivity registry","Overall-only sensitivity role; 2008 primary role","2026-08-30","Historical 2008 diagnostics are preserved and not deleted, but they do not authorise an analysis.","REQUIRED"
"D05A","2024 inclusion in primary descriptive/GGM","Include 2024 in the primary descriptive/GGM wave set; provenance Gate cleared","FROZEN","REPRODUCED","VERIFIED","APPROVED","NOT_REQUIRED","NO_CURRENT_EFFECT","Official 2024 metadata/questionnaire/CDF provenance","Gate 1 correction; no numerical change","research_decisions_log.md — 2026-08-22 targeted correction","D09B and D21 govern formal implementation, not inclusion","Current-state, methodology and provenance tables","Gate-1-failed/2024-blocked claims","2026-08-24","Independent of D15, D18 and D19.","REQUIRED"
"D05B","2024 endpoint comparison and historical interpretation","Endpoint comparison family and strength of historical-change interpretation remain conditional","SUPERVISOR_CONFIRMATION_REQUIRED","PARTIALLY_SUPPORTED","NOT_STARTED","NOT_YET_APPROVED","REQUIRED","BLOCKS_OPTIONAL_MODULE","Official mode/weight documentation; repeated cross-sectional limits","No formal endpoint analysis","Revised governance proposal","D02/D15/D18/D19 choices as applicable","Endpoint comparison plan; interpretation rules","Mixed D05 status","2026-08-24","Does not affect D05A inclusion.","REQUIRED"
"D06","Node set","Nine fixed ordinal primary nodes; approved no-VCF0839 sensitivity uses the original nine-node complete-case respondents in each of five primary waves at gamma 0.50","FROZEN","DIRECT_PRIMARY_EVIDENCE","VERIFIED","APPROVED","ADVISED","NO_CURRENT_EFFECT","Official CDF codebook; political full texts","Node and feasibility audits; Step 09 no-VCF0839 sensitivity completed on the original nine-node memberships in all five waves","research_decisions_log.md — 2026-08-28","D21 before sensitivity execution","Measurement matrix; methods; sensitivities","Earlier provisional node sets","2026-08-30","Primary set remains nine nodes. The bounded no-VCF0839 sensitivity is complete; it does not redefine the primary node set.","REQUIRED"
"D07","Education grouping","VCF0110 codes 1–3 no college; code 4 college/advanced; attainment is not elite status or sophistication","FROZEN","REPRODUCED","VERIFIED","APPROVED","ADVISED","NO_CURRENT_EFFECT","Official codebook; political literature","Education feasibility audit","research_decisions_log.md — 2026-08-21","D08A/D08B for wave/family roles","Education methods and descriptives","Project Plan proxy/elite wording","2026-08-23","Grouping and inferential family are separate decisions.","REQUIRED"
"D08A","Descriptive education-network waves","Descriptive two-group education networks in 2012, 2016, 2020 and 2024; exclude 2004 and 2008; use VCF0110 codes 1-3 versus 4, the frozen nine-node complete-case polychoric EBICglasso at gamma 0.50, and 1,000 edge bootstraps before reporting","FROZEN","PARTIALLY_SUPPORTED","COMPLETE_AND_VALIDATED","APPROVED","ADVISED","NO_CURRENT_EFFECT","Official codebook; subgroup complete-case and pairwise-cell evidence; Epskamp and Fried 2018; Epskamp Borsboom and Fried 2018; Burger et al. 2023","Eight of eight point networks completed and exactly reproduced Stage 13 reference graphs; eight of eight 1,000-repetition edge bootstraps returned 8,000/8,000 valid networks; 72/72 point and 96/96 bootstrap checks passed; zero bootstrap retries, warnings or errors","STEP08_D08A_STAGE14_15_EXECUTION_RESULT.md; research_decisions_log.md — 2026-08-30 D26 completion","Completed and validated","Education methods; 08B notebook and HTML; descriptive education-network models, edge-accuracy tables and logs","Candidate wave roles and 2004 sensitivity","2026-08-30","Education is attainment, not political knowledge, sophistication or elite status. D08A remains descriptive; unequal group N, sparse cells and dense-network warnings limit direct comparison. D08B formal inference remains outside scope.","REQUIRED"
"D08B","Formal education comparison family","No formal or inferential education-comparison family in the current design; within-year education networks are descriptive only; no education NCT or education-by-time interaction","NOT_IN_CURRENT_SCOPE","PARTIALLY_SUPPORTED","NOT_APPLICABLE","APPROVED","ADVISED","NO_CURRENT_EFFECT","Education theory and feasibility evidence; ordinal-NCT limitation; MSc scope decision","No formal education comparison run","research_decisions_log.md — 2026-08-30 D24","New explicit approval and validated inferential method to reopen","Title and RQ wording; education Results interpretation","Four-wave primary education NCT family","2026-08-30","Visible group differences cannot be called statistically established. A no-formal-inference option is a scope decision, not a claim that group inference is impossible.","REQUIRED"
