"Stage","Criterion","Passed","Notes"
"00--06","Five primary matrices finite, symmetric, positive definite and warning-free",TRUE,"Based on saved pre-analysis diagnostics; no model rerun in Step 10."
"07","Inputs, five point networks and five 1,000-run edge bootstraps complete",TRUE,"Later 07A/07B files supersede stage-local future-scope rows in the Step 07 completion table."
"07A","Every edge-accuracy validation check passed",TRUE,"Percentile intervals are precision descriptors, not a second edge-selection rule."
"07B","D23 authorised and five 1,000-run case-dropping outputs validated",TRUE,"Expected Influence and Strength remain exploratory."
"08 stages 1--12","Every required stage 1--12 row passed",TRUE,"NCT and political interpretation were outside scope."
"08B","Every required D08A row passed",TRUE,"Eight descriptive education networks; no between-group inference."
"08C","Every final result-readiness validation passed",TRUE,"Within-network description only."
"09","Every authorised sensitivity module complete and no prohibited analysis run",TRUE,"Point-network sensitivities and reuse-only weighted summaries."
"09B","Every Step 09B completion check true",TRUE,"Joint robustness is reproducibility evidence, not significance or equivalence."
"09B independent audit","Every independent Step 09B audit check passed",TRUE,"Independent recalculation had already passed before Step 10."
