"Component","Status","Evidence","Limitation"
"Source data documentation","AVAILABLE_READ_ONLY","Official ANES documentation and project source inventory","ANES access and source-version requirements still apply."
"Derived analysis-ready data","AVAILABLE","data/processed and data/audit","Raw ANES data are not redistributed."
"Ordered preprocessing notebooks","AVAILABLE","notebooks/00--06 and their rendered reports","Step 10 does not rerun Steps 00--09B."
"Primary point-network objects","AVAILABLE_VALIDATED","outputs/models/formal","All primary networks carry a dense-network warning."
"Edge bootstrap objects","AVAILABLE_VALIDATED_1000_PER_WAVE","outputs/models/formal and 07A validation","Intervals are precision evidence, not edge-selection tests."
"Centrality case-drop objects","AVAILABLE_VALIDATED_1000_PER_WAVE","outputs/models/formal and 07B validation","Centrality remains exploratory."
"Education network and bootstrap objects","AVAILABLE_VALIDATED_1000_PER_GROUP","outputs/models/formal and 08B/08C validation","No education-group significance test."
"Sensitivity objects","AVAILABLE_VALIDATED","outputs/models/sensitivity and 09/09B validation","Robustness labels are not p-values or equivalence tests."
"Dependency lock","AVAILABLE_HASHED","renv.lock","A current renv status snapshot is reported separately."
"Package manifest","CREATED","10_package_manifest.csv","Package-version fields should be checked again at final submission."
"Session information","CREATED","outputs/logs/10_sessionInfo.txt","Operating-system and locale warnings may be environment-specific."
"renv status snapshot","COMPLETED","outputs/logs/10_renv_status.txt","Any recorded issue must be resolved before final archive freeze."
"Random seeds","AVAILABLE_IN_PRIOR_OUTPUTS_AND_SCRIPTS","Prior seed manifests and executable notebooks","No new random process was executed in Step 10."
"Claim-to-output registry","CREATED","10_result_claim_registry.csv","Registry is an audit aid, not dissertation prose."
"Input and output SHA-256 inventories","CREATED","10_input_inventory.csv; 10_output_hash_inventory.csv","Hashes attest file identity, not substantive validity."
