"candidate_order","cdf_variable","node_label","construct_class","primary_domain","final_role","decision_status","final_order","valid_codes_after_cleaning","high_value_meaning","decision_reason","measurement_caution","boundary_sensitivity"
1,"VCF0806","Government health insurance","policy attitude","government role and healthcare","PRIMARY_NODE","FROZEN_VERIFIED",1,"1|2|3|4|5|6|7","greater support for government-provided health insurance","Distinct government-role policy attitude available in all five primary waves","Documented wording and mode history; coding direction is reversed during cleaning","NONE"
2,"VCF0809","Government responsibility for jobs and living standards","policy attitude","government role and economic security","PRIMARY_NODE","FROZEN_VERIFIED",2,"1|2|3|4|5|6|7","greater support for government responsibility for jobs and living standards","Distinct economic-policy attitude available in all five primary waves","Documented wording and mode history; coding direction is reversed during cleaning","NONE"
3,"VCF0830","Aid to Black people","policy attitude","racial policy","EXCLUDED","MEASUREMENT_GATE_NOT_MET",,"SEE_COMPARABILITY_AUDIT",,"The recorded audit does not verify an official 2012 source under the fixed five-wave design and rates wording comparability as low","The audit contains 2012 values despite no listed source year; this provenance inconsistency must not be treated as ordinary availability","NONE"
4,"VCF0838","Legal availability of abortion","policy attitude","moral and cultural policy","PRIMARY_NODE","FROZEN_VERIFIED",3,"1|2|3|4","greater support for permissive legal abortion conditions","Distinct social-policy attitude available in all five primary waves","Four ordered categories with documented form and mode notes","NONE"
5,"VCF0839","Government services and spending","policy attitude","general government scope","PRIMARY_NODE","FROZEN_VERIFIED",4,"1|2|3|4|5|6|7","greater support for government services and spending","General government-scope orientation is substantively distinct from item-specific spending preferences","Broad wording overlaps conceptually with three specific federal-spending items","REMOVE_VCF0839_EIGHT_NODE_SENSITIVITY"
6,"VCF0843","Defence spending","policy attitude","foreign policy and defence","EXCLUDED","MEASUREMENT_GATE_NOT_MET",,"SEE_COMPARABILITY_AUDIT",,"No verified or usable 2012 source is recorded under the fixed five-wave design","The audit reports structural non-administration and zero valid values in 2012","NONE"
7,"VCF0888","Federal spending on dealing with crime","policy attitude","law and order and public spending","PRIMARY_NODE","FROZEN_VERIFIED",6,"1|2|3","greater support for federal spending on dealing with crime","Distinct law-and-order spending preference available in all five primary waves","Part of a common federal-spending battery; 2008 source conflict is historically documented but outside the final waves","NONE"
8,"VCF0890","Federal spending on public schools","policy attitude","education and public services","PRIMARY_NODE","FROZEN_VERIFIED",7,"1|2|3","greater support for federal spending on public schools","Distinct education-spending preference available in all five primary waves","Part of a common federal-spending battery","NONE"
9,"VCF0894","Federal spending on welfare programmes","policy attitude","redistribution and social welfare","PRIMARY_NODE","FROZEN_VERIFIED",8,"1|2|3","greater support for federal spending on welfare programmes","Distinct welfare-spending preference available in all five primary waves","Part of a common federal-spending battery","NONE"
10,"VCF9047","Federal spending on the environment","policy attitude","environmental policy","EXCLUDED","MEASUREMENT_GATE_NOT_MET",,"SEE_COMPARABILITY_AUDIT",,"The official-source audit does not support a common 2004 and 2012 measure under the fixed five-wave design","Recorded 2012 values coexist with no listed source year and must not be treated as verified administration","NONE"
11,"VCF9049","Federal spending on Social Security","policy attitude","social security and public spending","EXCLUDED_SCOPE_AND_MEASUREMENT_BOUNDARY","FROZEN_BY_CURRENT_RESEARCHER_DECISION",,"NOT_APPLICABLE_ITEM_EXCLUDED",,"Retained outside the final nine-node network by a current scope-and-measurement-boundary decision; this is not a reconstruction of the missing historical rationale","Available in all five final waves and causes little sample loss. Supporting considerations are unresolved 2008 provenance in the original design context, a separate rare code 7 in 2004 but not later waves, and concentration of the bounded set on spending-related items. Code 7 is not the sole basis; the item is not judged invalid or redundant","NONE"
12,"VCF0879a","Preferred immigration level","policy attitude","immigration policy","PRIMARY_NODE","FROZEN_VERIFIED",5,"1|3|5","greater support for increasing immigration","Measures immigration-level preference and is distinct from the perceived employment-consequence belief","Collapsed three-category coding and presentation changes require documented harmonisation","NONE"
13,"VCF9223","Perceived likelihood that immigration takes jobs","policy-related belief","immigration-related economic threat","PRIMARY_NODE","FROZEN_VERIFIED",9,"1|2|3|4","lower perceived likelihood that immigration takes jobs","Retains a policy-related consequence belief distinct from immigration-level preference and fixes the earliest common baseline at 2004","This is a consequence belief rather than a direct policy preference","NONE"
14,"VCF0301","Party identification","symbolic identity","party identity","EXCLUDED","ESTIMAND_BOUNDARY_FROZEN",,"SEE_COMPARABILITY_AUDIT",,"Including party identification would change the estimand from policy-policy organisation to policy-identity alignment and issue partisanship","Available across the five waves but outside the frozen policy-attitude and policy-related-belief boundary","NONE"
15,"VCF0803","Liberal-conservative self-placement","symbolic identity","ideological identity","EXCLUDED","ESTIMAND_BOUNDARY_FROZEN",,"SEE_COMPARABILITY_AUDIT",,"Including ideological self-placement would change the estimand from policy-policy organisation to policy-identity alignment","Available across the five waves but outside the frozen policy-attitude and policy-related-belief boundary","NONE"
16,"VCF0846","Importance of religion","religious value or identity","religion","EXCLUDED","CONSTRUCT_AND_MEASUREMENT_GATE_NOT_MET",,"SEE_COMPARABILITY_AUDIT",,"Religion importance is not a policy attitude and its coding history does not provide the same construct boundary as the retained nodes","The audit rates comparability as low and records a binary recode in 2020","NONE"
