"Claim_ID","Research_question","Analysis_scope","Claim_type","Value_or_status","Permitted_wording","Required_qualification","Evidence_file","Evidence_columns","Validation_status","Method_reference_ids","Supervisor_confirmation"
"RQ1_WAVE_2004_NETWORK_DESCRIPTOR","RQ1","Overall ANES analysis sample, 2004","DESCRIPTIVE_NETWORK_DESCRIPTOR","N=789; retained_edges=25; global_strength=3.2739","Describe the saved sample-level conditional-association network.","Dense-network warning; edge count and global strength are not ideological constraint; no significance test.","10_sample_primary_summary.csv","Analysis_ready_n; Retained_edges; Global_strength_descriptive; Dense_network_warning","READY_WITH_METHOD_LIMITATIONS","M01;M02;M03;D01","HISTORICAL_INTERPRETATION_SCOPE_ADVISED"
"RQ1_WAVE_2004_EDGE_ACCURACY","RQ1","Within-wave edge accuracy, 2004","EDGE_PRECISION","median_CI_width=0.1508; maximum_CI_width=0.2426","Describe uncertainty width and bootstrap diagnostics.","Whether a bootstrap percentile interval contains zero is audit information, not a second edge-selection threshold.","10_sample_primary_summary.csv","Median_percentile_interval_width; Maximum_percentile_interval_width","READY","M02;M03","NO"
"EXPLORATORY_WAVE_2004_CENTRALITY","EXPLORATORY_NOT_FORMAL_RQ","Within-wave centrality, 2004","EXPLORATORY_EXPECTED_INFLUENCE","highest_EI_node=VCF0890; EI_CS_at_max_examined_drop=0.7503","Cautiously describe signed connectivity within the selected node set.","No causal importance, public salience, cross-wave centrality test, or intervention claim.","10_sample_primary_summary.csv","Highest_Expected_Influence_node; Highest_Expected_Influence; Expected_Influence_CS","EXPLORATORY_READY","M02;M04;M05","NO"
"RQ1_WAVE_2012_NETWORK_DESCRIPTOR","RQ1","Overall ANES analysis sample, 2012","DESCRIPTIVE_NETWORK_DESCRIPTOR","N=4353; retained_edges=32; global_strength=3.9598","Describe the saved sample-level conditional-association network.","Dense-network warning; edge count and global strength are not ideological constraint; no significance test.","10_sample_primary_summary.csv","Analysis_ready_n; Retained_edges; Global_strength_descriptive; Dense_network_warning","READY_WITH_METHOD_LIMITATIONS","M01;M02;M03;D01","NO"
"RQ1_WAVE_2012_EDGE_ACCURACY","RQ1","Within-wave edge accuracy, 2012","EDGE_PRECISION","median_CI_width=0.0761; maximum_CI_width=0.0937","Describe uncertainty width and bootstrap diagnostics.","Whether a bootstrap percentile interval contains zero is audit information, not a second edge-selection threshold.","10_sample_primary_summary.csv","Median_percentile_interval_width; Maximum_percentile_interval_width","READY","M02;M03","NO"
"EXPLORATORY_WAVE_2012_CENTRALITY","EXPLORATORY_NOT_FORMAL_RQ","Within-wave centrality, 2012","EXPLORATORY_EXPECTED_INFLUENCE","highest_EI_node=VCF0839; EI_CS_at_max_examined_drop=0.7501","Cautiously describe signed connectivity within the selected node set.","No causal importance, public salience, cross-wave centrality test, or intervention claim.","10_sample_primary_summary.csv","Highest_Expected_Influence_node; Highest_Expected_Influence; Expected_Influence_CS","EXPLORATORY_READY","M02;M04;M05","NO"
"RQ1_WAVE_2016_NETWORK_DESCRIPTOR","RQ1","Overall ANES analysis sample, 2016","DESCRIPTIVE_NETWORK_DESCRIPTOR","N=2709; retained_edges=32; global_strength=4.0737","Describe the saved sample-level conditional-association network.","Dense-network warning; edge count and global strength are not ideological constraint; no significance test.","10_sample_primary_summary.csv","Analysis_ready_n; Retained_edges; Global_strength_descriptive; Dense_network_warning","READY_WITH_METHOD_LIMITATIONS","M01;M02;M03;D01","NO"
"RQ1_WAVE_2016_EDGE_ACCURACY","RQ1","Within-wave edge accuracy, 2016","EDGE_PRECISION","median_CI_width=0.0982; maximum_CI_width=0.1338","Describe uncertainty width and bootstrap diagnostics.","Whether a bootstrap percentile interval contains zero is audit information, not a second edge-selection threshold.","10_sample_primary_summary.csv","Median_percentile_interval_width; Maximum_percentile_interval_width","READY","M02;M03","NO"
"EXPLORATORY_WAVE_2016_CENTRALITY","EXPLORATORY_NOT_FORMAL_RQ","Within-wave centrality, 2016","EXPLORATORY_EXPECTED_INFLUENCE","highest_EI_node=VCF0839; EI_CS_at_max_examined_drop=0.7501","Cautiously describe signed connectivity within the selected node set.","No causal importance, public salience, cross-wave centrality test, or intervention claim.","10_sample_primary_summary.csv","Highest_Expected_Influence_node; Highest_Expected_Influence; Expected_Influence_CS","EXPLORATORY_READY","M02;M04;M05","NO"
"RQ1_WAVE_2020_NETWORK_DESCRIPTOR","RQ1","Overall ANES analysis sample, 2020","DESCRIPTIVE_NETWORK_DESCRIPTOR","N=5390; retained_edges=32; global_strength=4.2105","Describe the saved sample-level conditional-association network.","Dense-network warning; edge count and global strength are not ideological constraint; no significance test.","10_sample_primary_summary.csv","Analysis_ready_n; Retained_edges; Global_strength_descriptive; Dense_network_warning","READY_WITH_METHOD_LIMITATIONS","M01;M02;M03;D01","NO"
"RQ1_WAVE_2020_EDGE_ACCURACY","RQ1","Within-wave edge accuracy, 2020","EDGE_PRECISION","median_CI_width=0.0712; maximum_CI_width=0.0882","Describe uncertainty width and bootstrap diagnostics.","Whether a bootstrap percentile interval contains zero is audit information, not a second edge-selection threshold.","10_sample_primary_summary.csv","Median_percentile_interval_width; Maximum_percentile_interval_width","READY","M02;M03","NO"
"EXPLORATORY_WAVE_2020_CENTRALITY","EXPLORATORY_NOT_FORMAL_RQ","Within-wave centrality, 2020","EXPLORATORY_EXPECTED_INFLUENCE","highest_EI_node=VCF0839; EI_CS_at_max_examined_drop=0.7499","Cautiously describe signed connectivity within the selected node set.","No causal importance, public salience, cross-wave centrality test, or intervention claim.","10_sample_primary_summary.csv","Highest_Expected_Influence_node; Highest_Expected_Influence; Expected_Influence_CS","EXPLORATORY_READY","M02;M04;M05","NO"
"RQ1_WAVE_2024_NETWORK_DESCRIPTOR","RQ1","Overall ANES analysis sample, 2024","DESCRIPTIVE_NETWORK_DESCRIPTOR","N=3525; retained_edges=33; global_strength=4.0968","Describe the saved sample-level conditional-association network.","Dense-network warning; edge count and global strength are not ideological constraint; no significance test.","10_sample_primary_summary.csv","Analysis_ready_n; Retained_edges; Global_strength_descriptive; Dense_network_warning","READY_WITH_METHOD_LIMITATIONS","M01;M02;M03;D01","HISTORICAL_INTERPRETATION_SCOPE_ADVISED"
"RQ1_WAVE_2024_EDGE_ACCURACY","RQ1","Within-wave edge accuracy, 2024","EDGE_PRECISION","median_CI_width=0.0894; maximum_CI_width=0.1215","Describe uncertainty width and bootstrap diagnostics.","Whether a bootstrap percentile interval contains zero is audit information, not a second edge-selection threshold.","10_sample_primary_summary.csv","Median_percentile_interval_width; Maximum_percentile_interval_width","READY","M02;M03","NO"
